altid,title,content
sc5400bcdc7b,Fit-again Betsen in France squad," France have brought flanker Serge Betsen back into their squad to face England at Twickenham on Sunday.  But the player, who missed the victory over Scotland through injury, must attend a disciplinary hearing on Wednesday after being cited by Wasps. ""Serge has a good case so we are confident he will play,"" said France coach Bernard Laporte. The inexperienced Nicolas Mas, Jimmy Marlu and Jean-Philippe Grandclaude are also included in a 22-man squad. The trio have been called up after Pieter de Villiers, Ludovic Valbon and Aurelien Rougerie all picked up injuries in France's 16-9 win on Saturday.  Laporte said he was confident that Betsen would be cleared by the panel investigating his alleged trip that broke Wasps centre Stuart Abbott's leg. ""If he was to be suspended, we would call up Imanol Harinordoquy or Thomas Lievremont,"" said Laporte, who has dropped Patrick Tabacco. ""We missed Serge badly against Scotland. He has now recovered from his thigh injury and played on Saturday with Biarritz."" France's regular back-row combination of Betsen, Harinordoquy and Olivier Magne were all missing from France's side at the weekend because of injury. Laporte is expected to announce France's starting line-up on Wednesday.  Forwards: Nicolas Mas, Sylvain Marconnet, Olivier Milloud, William Servat, Sebastien Bruno, Fabien Pelous, Jerome Thion, Gregory Lamboley, Serge Betsen, Julien Bonnaire, Sebastien Chabal, Yannick Nyanga. Backs: Dimitri Yachvili, Pierre Mignoni, Frederic Michalak, Yann Delaigue, Damien Traille, Brian Liebenberg, Jean-Philippe Grandclaude, Christophe Dominici, Jimmy Marlu, Pepito Elhorga."
scae1e9771cd,Double injury blow strikes Wales," Wales centre Sonny Parker and number eight Ryan Jones will miss Saturday's game with Italy because of injury.  Parker has not recovered from a trapped nerve in his neck that kept him out of the win over England, and Tom Shanklin is expected to continue at centre. Jones damaged his collar bone after coming on as a replacement against England and joins flanker Colin Charvis (foot injury) on the sidelines. Meanwhile, Mike Ruddock may make Gavin Henson his first-choice kicker in Rome. The centre was Wales' hero in the 11-9 Six Nations win over England, landing a huge late penalty from wide out to clinch the game. First-choice kicker Stephen Jones handed over responsibility because of Henson's greater kicking range, but the fly-half had already missed a number of shots at goal. ""Our first aim was to get Gavin settled into the team, but giving him the kicks is something we'll talk about in selection this week,"" Wales coach Mike Ruddock told BBC Sport Wales. Henson himself says he is relishing all the media hype that has been heaped on him since last Saturday's game. ""I thrive on it and think it makes me perform better,"" he said. ""I'm glad it's a short week before the Italy game. There was so much build-up before England, but we fly out to Rome on Thursday and we'll be back playing again."""
sc80baeb5026,Ref stands by Scotland decisions," The referee from Saturday's France v Scotland Six Nations match has defended the officials' handling of the game after criticism by Matt Williams.  The Scotland coach said his side were robbed of victory by poor decisions made by the officials. But Nigel Williams said: ""I'm satisfied the game was handled correctly."" Meanwhile, Matt Williams will not be punished by the Scottish Rugby Union for allegedly using bad language in his comments about the officials. He denies having done so. Nonetheless, he was furious about several decisions that he felt denied his side a famous victory. But Nigel Williams told the Scottish Daily Mail: ""I spoke to Matt Williams at the post-match dinner. ""He made no mention of the disallowed try or any other refereeing decisions whatsoever. ""If Matt has issues with the match officials, then he is very welcome to phone me and discuss them. ""Ultimately there is a match assessor at every international game to give an impartial and objective view of the performance of the officials. ""That is the beginning and end of it."""
sc6104db9e3d,Downing injury mars Uefa victory," Middlesbrough boss Steve McClaren hopes that Stewart Downing did not seriously damage his hamstring during the 2-1 Uefa Cup win over Graz AK.  The winger was carried off on a stretcher in the closing stages as Boro booked their place in the last 16. McClaren said: ""Stewart has tweaked a hamstring, which is a blow for us. We will assess it in the morning. ""But I'm delighted with the match result. They say in sport you can win ugly - and we certainly did."" McClaren was relieved to make it through after a tough encounter at The Riverside.  ""To be fair to Graz, they had a gameplan - they knocked the ball forward, especially in the first half, and we struggled to deal with it. ""In the second half we were better but it was frustrating because we got the goal - but one slip and they were back in it."" Boro face Sporting Lisbon for a place in the quarter-finals after the Portuguese side saw off Feyenoord on Thursday. And McClaren added: ""Sporting are technically very good - Portuguese sides always are. ""But the journey goes on for us and we will now go to their magnificent stadium - after the first game here - we'll look forward to it."" Goalscorer Jimmy Floyd Hasselbaink added: ""It wasn't a particularly beautiful match to watch - but they made it difficult for us. ""We didn't play well at all. But you need a little bit of luck and I think we got that when my shot went through the legs of their goalkeeper. ""I would have liked to play in Holland - that would have been a little bit special to me. ""But so is going back to Portugal - I'll be playing against some lads I played with at Boavista."""
pc463fa57b3d,New UKIP defection to 'Veritas'," The UK Independence Party has lost one of its two London Assembly members to Robert Kilroy-Silk's new political party, expected to launch on Wednesday.  Damian Hockney said ex-chatshow host Mr Kilroy-Silk would ""deliver better"" as the leader of a eurosceptic party. He said Mr Kilroy-Silk had made him deputy party leader of Veritas, Latin for truth. Sources close to Mr Hockney said around eight other members of London UKIP were also planning to jump ship.  Details of the coming week's events were hammered out at a meeting at Mr Kilroy-Silk's Buckinghamshire home on Sunday, the BBC News Website was told. The news came after UKIP suspended a candidate for allegedly suggesting the criminally insane should be killed. John Houston, 54, was due to stand in the East Kilbride seat in Lanarkshire at the next election. A spokesman for UKIP called on Mr Hockney to quit the London Assembly. UKIP asserts that Mr Hockney ""has a moral obligation, if not a legal one"" to stand down. Mr Hockney meanwhile told the BBC: ""I believe that Robert Kilroy-Silk can deliver better as a leader of a eurosceptic party than the current leadership of the UK Independence Party.""  On the suspension of Mr Houston, UKIP said those who selected him knew nothing of his views. Mr Houston is alleged to have said that the organs of the criminally insane should be ""made available to law-abiding members of the community"" and proposed the legalisation of drugs and the sex trade.  The document reportedly said: ""We're looking for the resurrection of the British Empire. ""The problems for the human race - environmental and others - can only be dealt with on a global scale, and that calls for a radical alliance of the English-speaking nations, which they are uniquely able to do."" UKIP spokesman Mark Croucher said the main issue would be that Mr Houston's reported views had been presented as UKIP policy, which they were not."
sc4216189caf,Bath faced with Tindall ultimatum," Mike Tindall's agent has warned Bath they have until next week to improve their contract offer to the England man or risk losing him to a rival club.  Dipo Alli says he has received an offer for Tindall which dwarfs Bath's deal and that two other clubs want to talk. ""Mike does not want to go into the Six Nations worrying about where he will be playing his club rugby next season,"" Alli told the Guardian newspaper. ""It is up to (Bath owner) Andrew Brownsword. He has to make it happen."" Tindall is out of contract at the end of the season but it is understood that Brownsword is unwilling to break the club's salary structure to accommodate the 26-year-old's demands. But Alli insists the player is worth more than Bath have put on the table. ""Mike has been at Bath for eight years and wants to remain with the club and his demands are anything but excessive,"" the agent added. ""But Brownsword has to recognise Mike's value and we want to resolve things by the end of next week."""
sc35f054c50a,Paris promise raises Welsh hopes," Has there been a better Six Nations match than Saturday's epic in Paris?  And can the Welsh revival continue all the way to a first Grand Slam since 1978? Those are the two questions occupying not just Wales supporters but rugby fans as a whole after a scintillating display in Paris. Welsh legend Mervyn Davies, a member of two of three Grand Slam-winning sides of the 1970s, hailed it as ""one of the great performances of the past three decades"". Martyn Williams, Wales' two-try scorer on the day, called it ""one of the most surreal games I have ever played in"". A crestfallen France coach, Bernard Laporte, simply observed: ""There was a French half and there was a Welsh half"". And what a half it was for the Red Dragonhood, transforming a 15-6 half-time deficit into an 18-15 lead within five mesmerising minutes of the second period. But while that passage of play showed the swelling self-belief of a side prepared to back its own spirit of adventure, the final quarter told us a whole lot more about this Welsh side. That they recovered from a battering in the first half-hour to first stem the tide before half-time, then reverse it on the resumption, was remarkable enough. But in resisting a seemingly unstoppable wave of French pressure in a nail-biting final five minutes, Wales showed not only their physical attributes but their mental resolve.  In international rugby, any of the top seven sides can beat each other on a given day, but the great sides are those that win the close contests on a consistent basis. England suffered some infamous Six Nations disappointments en route to World Cup glory, the pain of defeat forging bonds that ultimately led to victory when it really mattered. Wales have some way to go before they can be remotely considered in a similar light. But the signs are that players previously on the receiving end are learning how to emerge on the right side of the scoreline. Ten of the 22 on duty on Saturday were also involved when Wales were trounced 33-5 in Paris two years ago. But since they threw off the shackles against New Zealand in the 2003 World Cup, Wales have rediscovered much of what made them a great rugby nation in the first place.  ""The confidence in the squad has been building and building since the World Cup and we now have young players who are becoming world class,"" noted coach Mike Ruddock. The likes of Michael Owen, Gethin Jenkins, Dwayne Peel and Gavin Henson are certainly building strong cases for inclusion on this summer's Lions tour to New Zealand. And players like Stephen Jones, Martyn Williams, Shane Williams and Gareth Thomas are proving it is not only the youngsters that are on an upward curve. Jones, after his superb man-of-the-match display, observed that ""we are a very happy camp now"". Ruddock and Thomas can take much of the credit for that, ensuring the tribal and regional divisions that have often scarred Welsh rugby do not extend to the national squad. The  joie de vivre  so evident in that magical second-half spell in Paris also stems from a style of play that first wooed supporters the world over in the 1970s.  If England had half the innate attacking exuberance Wales have produced in this championship, they would not be contemplating the debris of three consecutive defeats. Similarly, Wales have learnt that style alone does not win matches, and that forward power, mental toughness and good decision-making under pressure are equally important. So on to Murrayfield, where Wales have not won on their last three visits. While the hype in the Principality will go into overdrive, the players will set about the task of beating Scotland. Only then - with the visit of Ireland to finish - can they start thinking about emulating the hallowed players of the 1970s, and writing their own names into Welsh legend."
sc847f608619,Souness delight at Euro progress," Boss Graeme Souness felt Newcastle were never really in danger of going out of the Uefa Cup against Heerenveen.  An early own goal followed by an Alan Shearer strike earned them a 2-1 win and a place in the Uefa Cup last 16. ""Obviously with winning in the first leg it gave us a great advantage,"" he said after the 4-2 aggregate victory. ""We got our goals early and in the minds of some players the job was done but then they got a goal and perhaps made us a bit nervous."" Shearer's goal moved him within 12 of Jackie Milburn's club scoring record of 200 for the Magpies. But Souness said he did not think beating the record would have any bearing on his decision to retire at the end of the season. ""I think if he got it this year he would want to stay next year anyway,"" he added.  ""He struck the ball very well - he always has done - and I think it was the power and pace that beat the goalkeeper."" Souness also paid tribute to Laurent Robert, who was at the heart of much of United's attacking play. ""In the first half he did really well and did everything you want from a wide player. More of the same in future please,"" he said."
scc779c1bc17,Houllier praises Benitez regime," Former Liverpool manager Gerard Houllier has praised the work of his Anfield successor Rafael Benitez.  Houllier was angry at reports that he has been critical of Benitez since the Spaniard took over at Liverpool. But Houllier told BBC Sport: ""In private and in public, I have stressed I believe Rafa is doing a good job. He is the right man at the right place. ""Rafa is a good coach and a good man. I've spoken to him since he has been at Liverpool and never criticised him."" Houllier also revealed he is now ready to return to the game after leaving Liverpool in May following six years at Anfield.  The former France boss has been linked with a host of jobs and pulled out of the race to succeed Mark Hughes as Wales national coach. He has been working for Uefa, covering the Premiership for French television and also coaching in Brazil with national coach Carlos Alberto Perreira. Houllier said: ""If a good club comes up at the right time then yes, I am ready to come back. ""It has been interesting to watch games from a different perspective and I have learned things. ""I have been involved in football since leaving Liverpool and my batteries are recharged.""  Houllier has been impressed with the quality in the Premiership after watching as a pundit - particularly with Jose Mourinho's work at leaders Chelsea. He said: ""Chelsea are doing very well. They have some very good creative players in Damien Duff and Arjen Robben and Didier Drogba showed he can change the face of a game when he came on against Newcastle. ""They have got a good team spirit and are strong mentally. They have shown they can cope with all the pressure put on them because of the expectations and cope well with Jose's principles. ""Jose had results before he came to Chelsea and I think he will have an impact in the Premiership because he manages his team very cleverly."" And Houllier, away from his brief at Liverpool, has been hugely impressed with the Premiership. He said: ""It is a very exciting league. It is entertaining, goals are scored and teams are always trying to win. ""It has been very interesting to watch the game from a different perspective. ""Games switch from end-to-end and there is more pace to the Premiership than other leagues. It is a very good product."""
pd8e14207069,"Analysis: No pain, no gain?"," He called it his ""masochism strategy"" in the run-up to the Iraq war and now Tony Blair has signed up for another dose of pain.  The idea is simple - the prime minister goes head to head with an often hostile group of ""real"" voters in the full spotlight of the television cameras. The theory is that talking to the great British public, even if they are the ""great unwashed"", is better than having the media filter what voters hear from politicians. It is also the most effective way of showing that he is aware of real people's concerns and - on occasions - of their outright fury. Mr Blair used the tactic before the Iraq war to try to show he really was engaging with public concerns and you can expect to see it much more in the run-up to the election.  Labour knows it has been damaged by accusations of spin, ""control freakery"" and over-slick presentation - sometimes from within the ranks of its own MPs. Tony Blair himself has said people complain he does not listen. Mr Blair's latest bout of flagellation came with a series of questions sessions on Five television throughout Wednesday.  The trouble began on the Wright Stuff show, with Maria Hutchings marching up to him, saying ""Tony, that's rubbish"" as she tried to complain about her autistic son's school being threatened with closure. A few ""don't worries"" as Mrs Hutchings was led back to the audience averted a public slanging match - he spoke to her privately after the show. But that was only the start and later sessions produced the type of grilling not even the toughest television interviewer could produce.  Writer Neil Coppendale, from West Sussex, asked of the Iraq war: ""Tens of thousands of innocent men, women and children died - how do you manage to sleep at night?"" On immigration, London teacher Diane Granger said: ""Where are you going to put everyone?"" And can you imagine even Jeremy Paxman putting the question posed by Brighton nurse Marion Brown: ""Would you wipe somebody's backside for £5?""  Mr Blair tried to use the questioners' first names - and sometimes threw them off their stride by asking what they would do about the problems. Many of the newspapers have branded the exercise a PR stunt which backfired. Indeed there is a danger Mr Blair simply ends up looking ""embattled"". Conservative Michael Howard and Liberal Democrat Charles Kennedy are to be offered chances to appear in similar slots on the channel next month. Labour strategists believe more of the sessions will mean the hecklers no longer become a story and the real issues take prominence.  James Humphreys, ex-head of corporate communications at Number 10, says the strategy shows frustration with the media. ""They feel they don't get their voice across and going direct to people is clearly their game on this occasion,"" he says. There are risks but the prize is tackling the trend of lower turnouts at the polls, he argues. The prime minister knows full well the potential hazards .  He must remember with gritted teeth his confrontation with Sharron Storer, the Birmingham woman who harangued him over the state of her local hospital in the 2001 election campaign. ""All you do is walk around and make yourself known, you don't do anything to help anybody,"" she told Mr Blair before stomping off, refusing his pleas to discuss the issue privately. Former Downing Street media chief Alastair Campbell has described the episode as a ""bit of a disaster"" as it meant the launch of Labour's election manifesto received little coverage. But it was seen as one of the few moments when that election campaign came alive, not least because it coincided with John Prescott's even more direct contact - when he punched an egg-throwing protester.  Former prime ministers too have come to grief at the hands of a persistent member of the public. The undoubted highlight of years of election phone-in shows was Margaret Thatcher discomfort on Nationwide in 1983, when viewer Diana Gould put her on the spot about the sinking of the Belgrano in the Falklands War. John Major reaped the benefits of street campaigning during the 1992 election campaign with his famous soapbox.  It may have left him splattered with eggs and engine oil at times but he felt it added ""fizz"" to his campaign. In his memoirs, he also argues the strategy contrasted with Neil Kinnock's ""contrived photo opportunities"" and attempts at an artful campaign. ""He wanted to look like a prime minister. I  was  prime minister and I wanted a flesh and blood fight,"" says Mr Major. Mr Blair told prospective Labour MPs on Thursday that taking part in phone-ins and public meetings could ""enthuse and engage and give the public a sense of empowerment"". But he also wants to counter complaints that he has spent too much time on international affairs and foreign trips. Mr Blair recalls how Bill Clinton once advised him: ""Always remember that what people see of you in the news in the evening is how they think you spend your day."" His hope must be that voters watching him on the rack will bear out for Labour the old maxim: ""No pain, no gain."""
pd0f0fa26a93,Howard denies split over ID cards," Michael Howard has denied his shadow cabinet was split over its decision to back controversial Labour plans to introduce ID cards.  The Tory leader said his front bench team had reached a ""collective view"" after holding a ""good discussion"", but admitted it was ""not an easy issue"". He had decided to support the plans as the police said they would help fight terror, crime and illegal immigration. The Lib Dems have pledged to oppose the bill when it is debated next Monday.  Tory sources say senior party figures had argued vociferously against the ID card scheme. Among those reported to have serious reservations over the strategy were senior shadow cabinet members David Davis, Oliver Letwin and Tim Yeo. But Mr Howard denied Mr Yeo, his transport and environment spokesman, said the plans ""stink"". He also said he was confident shadow home secretary Mr Davis would ""set out the position very clearly"" when he stands up to debate the matter next week. Mr Howard said the police had said ID cards could ""help them foil a terror bomb plot in which people could lose their lives"". He added: ""When the police say that you have to take them seriously"".  He acknowledged there were ""good libertarian arguments"" against the cards, but said the shadow Cabinet had weighed up all the ""conflicting interests"" before reaching its decision. ""I don't pretend that it is an easy decision but at the end of the day a decision has to be taken."" He also denied he was afraid of looking ""soft"" on the issue, compared to Labour. The Conservatives announced their support for the government plans on Monday evening.  Sources within the party told the BBC Mr Howard had always been in favour of ID cards, and tried to introduce them when he was Home Secretary. But the Tories insisted they would hold ministers to account over the precise purpose of the scheme.  They said they would also press Labour over whether objectives could be met and whether the Home Office would be able to deliver them. And they pledged to assess the cost effectiveness of ID cards and whether people's privacy would be properly protected. ""It is important to remember that this bill will take a decade to come into full effect,"" a spokesman said. Lib Dem home affairs spokesman Mark Oaten has branded the ID scheme a waste of money and ""deeply flawed"". He said: ""This has all the signs of Michael Howard overruling colleagues' concerns over ID cards.""  The chairman of the Bar Council, Guy Mansfield QC warned there was a real risk that people on the ""margins of society"" would be driven into the hands of extremists. ""What is going to happen to young Asian men when there has been a bomb gone off somewhere? They are going to be stopped. If they haven't [ID cards] they are going to be detained."" Tory ex-minister Douglas Hogg said he opposed the plans for ID cards branding them a ""regressive"" step which would intrude into the lives of ordinary citizens without any counterbalancing benefits. He predicted ultimately carrying the cards would become compulsory and that would lead to large numbers of Britain's ethnic minorities being stopped by police."
pdf35f8013b5,Blair pledges unity to Labour MPs," Tony Blair has sought to reassure Labour backbenchers that nothing will stand in the way of the party's bid for a third term in power.  Mr Blair was speaking to MPs amid fresh rumours of a rift with Gordon Brown. A new book says the prime minister went back on a pledge to Mr Brown to stand down before the next general election. The chancellor has said he is focused on winning the poll and is due to join election supremo Alan Milburn for a Labour poster launch this week. Mr Blair told the Parliamentary Labour Party (PLP) on Monday: ""I know from everyone here, in Cabinet and government, nothing is going to get in the way of a unified Labour Party with a unified position and winning the third term people desperately need."" The prime minister and his chancellor arrived within seconds of each other and seemingly in good spirits at the start of the meeting which lasted around an hour. A new book, Brown's Britain by Sunday Telegraph journalist Robert Peston, says Mr Blair went back on a pledge to make way for Mr Brown after Cabinet allies intervened in June 2004.  It has caused a new wave of concern among Labour MPs gearing up to defend their seats in an election, widely expected to be held in May, and several members are understood to have lined up to express their discontent at the PLP meeting. Health Secretary John Reid earlier warned that Labour members would not easily forgive anybody fuelling damaging speculation. He told BBC News: ""Those who co-operate or inspire these books, in my view, have to know that, whatever the short-term political or personal advantage that they think they might secure, they always do it by damaging the record, the unity and the re-election chances of the Labour Party and the government."" Mr Blair on Sunday dismissed claims of broken promises, saying: ""I've dealt with this six months ago. I said then you don't do deals over jobs like this - you don't.""  In a separate BBC interview, Mr Brown said he and the prime minister would not be distracted by ""gossip"". ""It's very important that we all do what we can in a unified way to ensure the election of a Labour government,"" he said.  On Monday, Mr Blair's spokesman said: ""The prime minister is determined that he will get on with the business of government because he believes that what people want."" Mr Brown says he discussed the election campaign with Mr Blair on Saturday and promised to play his part.  Mr Peston said the pair had ""mutual animosity and contempt"". Mr Blair had decided in November 2003 he would quit because he felt he had lost voters' trust because of the Iraq war.  He had then changed his mind in June 2004, following intervention from Cabinet allies and suspicion that the chancellor was manoeuvring against him. Mr Brown allegedly said he could no longer believe anything Mr Blair told him. Conservative co-chairman Liam Fox likened the two men to ""self-obsessed schoolboys"". Liberal Democrat parliamentary chairman Matthew Taylor said their personal ambition was ""getting in the way of good government"". Ex-Labour leader Neil Kinnock said Mr Blair and Mr Brown could only deal with the media frenzy by continuing to say they would not allow a row to damage Labour or British interests. He told BBC Radio Five Live that Mr Brown would never encourage any kind of insurrection or coup."
pda7a4b979ac,"Nat Insurance to rise, say Tories"," National Insurance will be raised if Labour wins the next election, Tory leader Michael Howard has claimed.  Tony Blair has said he does not want higher tax rates for top earners but on Wednesday said other tax promises would be left to Labour's manifesto. Prime minister's questions also saw Mr Blair predict that new plans would probably cut net immigration. He attacked Tory plans to process asylum claims abroad - but Mr Howard said Labour had proposed the idea too.  The Commons questions session again saw the leaders of the two biggest parties shape up for the forthcoming election campaign. The Tories have promised £4bn in tax cuts but have yet to say where they will fall. Mr Howard pointed to the Institute for Fiscal Studies' predictions that Labour will need to increase taxes to cover an £11bn gap in its spending plans. He accused ministers of wasting money on unsuccessful attempts to curb bad behaviour and truancy in schools and on slow asylum processing. It was no good Mr Blair claiming tax pledges were being left to the manifesto as he had given one to MPs on Tuesday about the top rate of income tax, argued Mr Howard. Pointing to national insurance, he added: ""Everyone knows tax will go up under Labour: isn't it now clear which tax it would be?""  Mr Blair instead hailed Labour's achievement in using a strong economy to invest in public services. ""When we have money not only going into extra teachers and nurses but equipment in schools and hospitals, that money is not wasted,"" he said. On the tax questions, he added: ""We will make commitments on tax at the time of the manifesto."" Home Secretary Charles Clarke this week published plans for a new points system for economic migrants, with only high-skilled workers allowed into the UK from outside the European Union.  Mr Blair said abuses would be weeded out and chain migration, where families automatically get the right to settle with immigrant workers, would end. That would probably create a fall in the migrant numbers, he said. The prime minister ridiculed the Tory plans for asylum quotas and for processing all asylum claims overseas. He challenged the Tories on which country would house their processing centres - what he called a ""fantasy island"". Mr Howard read from a letter about the government's own plans at the European Council of Ministers for processing asylum seekers outside the EU. But Mr Blair said: ""All the other countries could not agree on the way forward, nor could the UN."""
pda9f0bd8144,Lib Dems stress Budget trust gap," Public trust in the handling of the economy can only be restored if Gordon Brown opens up his books for unbiased inspection, say the Lib Dems.  City experts say there is a £10bn ""black hole"" in the public finances, a claim denied by the chancellor. Lib Dem spokesman Vince Cable said the public did not know who to believe and the National Audit Office should judge. Responding to the pre-Budget report, Mr Cable also attacked Labour's ""unfair"" and over-complicated taxes.  In his report, Mr Brown insisted he was on course to meet his ""golden rule"" of borrowing only to invest, rather than for day-to-day spending, over the course of the economic cycle. Mr Cable said people did not know whether to believe the chancellor or the consensus among experts which said the rule would be broken. ""There is an issue of credibility and trust,"" he said. ""We cannot have a continuation of a situation where the chancellor sets his own tests and then marks them. ""What we need is the equivalent of a thorough Ofsted inspection of the government's accounts."" He asked what the government had to hide.  Mr Cable also accused the chancellor of ducking tough choices. He argued: ""There are serious challenges ahead from the falling dollar and from the rapid downturn in the UK housing market and rising personal debt. But they have not been confronted."" Mr Brown confirmed he was setting aside another £520m for the conflicts in Iraq and Afghanistan. Mr Cable compared that new cost with the £500m needed for Britain's role in the entire first Gulf War - when 80% of the bill had been met through help from European and Arab nations. He suggested keeping British troops in Iraq could cost another £1bn with the government also planning to spend at least £3bn for identity cards. The current economic climate meant Britain could not afford the ""reckless, George Bush-style tax cutting spree"" planned by the Tories, he said. Instead, what was needed was simple and fair taxation rather than the ""complete mess"" produced by Mr Brown's endless tinkering.  Mr Cable said 40% of all pensioners were now paying marginal tax rates of 50%. And one-and-a-half million hard working families were paying 60% marginal tax rates. With that record, he asked why ministers attacked Lib Dem plans for a new 50% tax rate for the ""very rich"" - those earning more than £100,000 a year. Mr Brown earmarked £1bn to help keep down council tax rises next year. But the Lib Dem spokesman questioned whether that money was being found from cuts to education and health. He urged the government to scrap the ""grossly unfair"" tax completely. The Lib Dems want it replaced with a local income tax. In response, Mr Brown stressed the Iraq money came from a reserve funds. It was because he had rejected previous Lib Dem proposals, such as scrapping the New Deal, that Britain's economy was successful, claimed Mr Brown."
pdf79d1d1802,"UK needs tax cuts, Tories insist"," A major change of direction is needed in Britain if it is to prosper, the shadow chancellor said as the Tory Party spring conference began.  Oliver Letwin said the UK could not compete with other countries without the £4bn tax cuts he was promising. Tory co-chairman Liam Fox had opened the forum in Brighton with an attack on Labour's record and party leader Michael Howard is due to speak later. Tony Blair has said Conservative policies would cause economic failure. But Mr Letwin said Britain had fallen from fourth to 11th in the international economic competitiveness league.  ""Can this country compete, can this country prosper, unless we do something about the burden of regulation and tax on our economy?"" he said. ""If we are going to take on the great challenges, the challenges like those posed by the Chinese and the Indians, we have got to do something about getting down the burden of regulation and getting down the burden of tax,"" he said. ""The fact is the very carefully costed, fully funded plans we have laid out for saving £12bn by 2007-2008 are absolutely crucial to delivering an economy that will prosper and provide people with jobs and indeed provide the public services with the money they need on a sustainable long-term basis."" Mr Letwin said voting for Labour meant choosing higher taxes, borrowing and waste.  Earlier, Dr Fox had said Labour's rule had been characterised by ""lost trust and failure to deliver"". He also attacked the government's ""failure"" to control immigration and asylum and criticised its record on the NHS, telling delegates Labour cannot be trusted on education or crime. A Tory government would sort out the ""shambles"" of immigration, put patients before statistics and bring discipline to schools, he said. Michael Howard, who had been due to welcome delegates to the conference on Friday, will address them in a lunchtime speech. His welcome address had to be postponed after he stayed in London to lead the party's opposition to the Prevention of Terrorism Bill in its lengthy progress through Parliament. The bill was finally passed on Friday evening, after more than 30 hours of debate. Mr Howard is likely to defend his party's handling of the bill, which was only passed after the Conservatives accepted Prime Minister Tony Blair's promise that MPs would be able to review it within a year."
pd0eab24cf1d,Jowell confirms casino climbdown," Tessa Jowell has announced plans to limit the number of new casinos in the UK to 24, in a move branded a ""humiliating retreat"" by the Tories.  It puts an end to plans for up to 40 super casinos, originally outlined in the government's Gambling Bill. Instead there will be a cap of eight new casinos in each size category - small, medium and large. The Culture Secretary said the move showed she listened to critics who feared an explosion in gambling.  But Conservative shadow culture secretary John Whittingdale said the way the government had handled the bill was a ""shambles"". ""This announcement is a further humiliating retreat by the government. ""Instead of the initial intention of the gambling bill, to liberalise the rules governing gambling, the bill now imposes a more restrictive regime than exists at present."" Shares in British casino operators London Clubs International, Rank Group and Stanley Leisure, who had been hoping the bill would pave the way for a big expansion in smaller casinos, fell by between 10 and 25% following the announcement. Ms Jowell's deputy, Richard Caborn, said the government had adopted a cautious approach to the issue, and responded to the concerns raised. ""Limiting the number of regional casinos to eight in the first phase is a cautious move that will allow us to test the impact of a new kind of casino on the levels of problem gambling,"" he said. ""We also believe it's right to apply this same level of caution to small and large casinos.""  He added that local authorities would still be able to stop new casinos coming to their areas. Church groups welcomed the limit on the number of casinos. Salvation Army spokesman Jonathan Lomax said: ""The proliferation of these casinos on high streets across the country was a real concern and the [three year] trial period, which we think should last at least five years, will enable research into the potentially severe social consequences of an increase in hard and addictive forms of gambling."" But British British Casino Association Chairman Penny Cobham said her members were ""outraged"" by the decision, which followed a campaign in the Daily Mail newspaper. ""There was never going to be a massive explosion of casinos. Talk of a casino on every High Street was just a scaring tactic."""
pd6565c7946e,PM apology over jailings," Tony Blair has apologised to two families who suffered one of the UK's biggest miscarriages of justice.  The prime minister was commenting on the wrongful jailing of 11 people for IRA bomb attacks on pubs in Guildford and Woolwich in 1974. Mr Blair said: ""I am very sorry that they were subject to such an ordeal and injustice."" He made the apology to members of the Conlon and Maguire families in his private room at Westminster. In a statement recorded for television, Mr Blair said the families deserved ""to be completely and publicly exonerated"".  The families had hoped the apology would be made during Prime Minister's Questions in the House of Commons. However, one of the so-called Guildford Four, Gerry Conlon - who was wrongly convicted of planting the bombs - said the families were delighted with the apology. He said Mr Blair had spoken with ""such sincerity"", adding: ""He went beyond what we thought he would, he took time to listen to everyone. ""You could see he was moved by what people were saying. ""Tony Blair has healed rifts, he is helping to heal wounds. It's a day I never thought would come."" The move followed a huge campaign in Ireland for a public apology after eleven people were wrongly convicted of making and planting the IRA bombs which killed seven people. Mr Blair's official spokesman said no-one present at the meeting would ""ever forget the strength of feeling of relief that the prime minister's statement brought to them"".  Most of those convicted were either members or friends of the two families. All were arrested because of a family connection to Gerry Conlon. Mr Conlon's father Giuseppe was arrested when travelling to London from Belfast to help his son. He died while serving his sentence. Also arrested were Anne Maguire and members of her family. Mrs Maguire was the relative with whom Giuseppe planned to stay in London, as well as two family friends. She said it was a ""wonderful feeling"" to have had the apology and that a weight had been lifted off her shoulders.  ""The people who were still doubting us should now believe that we were totally innocent,"" she said. They were all jailed for handling explosives, based on scientific evidence which was later entirely discredited. In October 1989 the Court of Appeal quashed the sentences of the Guildford Four, and in June 1991 it overturned the sentences on the Maguire Seven. Mr Conlon's case was highlighted in the Oscar-nominated film In The Name Of The Father, starring Daniel Day-Lewis."
